isGood,BuyId,Score,Score2,Spread
FALSE,C082770,3.6387,3.1721,0.1282
FALSE,F141383,4.5164,4.4547,0.0137
TRUE,E028768,6.2410,3.1540,0.4946
TRUE,H111437,5.7288,4.5180,0.2114
FALSE,1756183,3.3170,3.3134,0.0011
TRUE,G883003,3.9361,2.4852,0.3686
TRUE,1380066,6.1152,4.7298,0.2265
TRUE,G386577,8.3010,4.6608,0.4385
FALSE,1639598,2.5074,2.4514,0.0223
TRUE,G087205,6.2354,4.7908,0.2317
TRUE,1030159,5.1187,3.0556,0.4030
TRUE,F524450,5.4035,3.0921,0.4278
FALSE,E166534,3.5894,3.2614,0.0914
TRUE,C094461,5.9107,3.1200,0.4722
TRUE,1960302,9.4556,3.8427,0.5936
TRUE,1558053,5.5915,2.9822,0.4667
FALSE,D048336,3.9407,3.3884,0.1402
TRUE,J175207,8.4596,7.5784,0.1042
TRUE,K367731,6.7371,3.4462,0.4885
FALSE,1789512,4.0197,3.3903,0.1566
FALSE,1735096,2.3831,2.3347,0.0203
FALSE,F931166,4.4241,4.3202,0.0235
TRUE,C091762,9.9447,4.2909,0.5685
FALSE,1898354,3.6785,3.6618,0.0045
FALSE,2073588,2.5559,2.3325,0.0874
FALSE,E551530,5.2009,3.7724,0.2747
TRUE,K419714,10.5481,4.0729,0.6139
FALSE,E742973,3.3308,3.2408,0.0270
TRUE,E793889,14.7365,4.9273,0.6656
TRUE,J554064,10.4320,10.3834,0.0047
TRUE,E110508,6.3278,4.7340,0.2519
FALSE,J253527,3.4158,3.4093,0.0019
TRUE,K187445,8.1127,2.5598,0.6845
FALSE,F801690,2.7811,2.7752,0.0021
FALSE,E557780,2.5431,2.4529,0.0355
TRUE,H281848,14.1640,3.7450,0.7356
TRUE,H262033,5.8580,3.7293,0.3634
TRUE,F037819,7.5885,3.4987,0.5390
TRUE,K031007,11.7065,3.7356,0.6809
FALSE,H301451,4.1763,4.0760,0.0240
FALSE,J242749,2.8410,2.7528,0.0311
FALSE,F456905,3.0076,2.9678,0.0132
FALSE,2020115,5.8740,5.3895,0.0825
FALSE,B029231,3.9376,3.3497,0.1493
FALSE,E148654,2.4812,2.4772,0.0016
FALSE,E739805,2.3095,2.2791,0.0132
FALSE,E036138,3.6605,3.5760,0.0231
FALSE,G244444,2.8707,2.8654,0.0018
TRUE,D059061,13.6725,8.5044,0.3780
TRUE,K050669,9.5735,7.0807,0.2604
FALSE,G728051,2.7589,2.7467,0.0044
TRUE,1464472,7.3279,3.0491,0.5839
FALSE,G005472,4.4232,4.0407,0.0865
FALSE,J180935,2.4260,2.4250,0.0004
TRUE,1346318,6.5734,3.6826,0.4398
FALSE,1698838,4.2560,3.7284,0.1240
FALSE,B036901,2.6289,2.4567,0.0655
FALSE,1674598,3.8240,3.7582,0.0172
FALSE,1583355,2.7431,2.5398,0.0741
FALSE,1446064,2.9121,2.7227,0.0650
FALSE,1304787,3.8748,3.4935,0.0984
TRUE,G891768,5.3977,3.0342,0.4379
FALSE,J075751,3.5986,3.5317,0.0186
FALSE,1745563,2.4227,2.3336,0.0368
FALSE,2089051,3.3263,3.3217,0.0014
FALSE,E774900,2.5677,2.5142,0.0208
FALSE,G243328,3.1279,2.8498,0.0889
TRUE,1486241,10.4221,3.1935,0.6936
FALSE,E439150,3.2025,2.9985,0.0637
FALSE,H116410,2.6181,2.3032,0.1203
